;;; 
Export: Release 21.0.0.0.0 - Production on Sáb Nov 1 17:51:41 2025
Version 21.3.0.0.0

Copyright (c) 1982, 2021, Oracle and/or its affiliates.  All rights reserved.
;;; 
Conectado a: Oracle Database 21c Express Edition Release 21.0.0.0.0 - Production
Iniciando "MIADMIN"."SYS_EXPORT_FULL_01":  miadmin/********@localhost:1521/XEPDB1 full=Y directory=BACKUP_DIR dumpfile=backup_full_2025-11-01_17-51-41.dmp logfile=backup_full_2025-11-01_17-51-41.log 
Procesando el tipo de objeto DATABASE_EXPORT/EARLY_OPTIONS/VIEWS_AS_TABLES/TABLE_DATA
Procesando el tipo de objeto DATABASE_EXPORT/NORMAL_OPTIONS/TABLE_DATA
Procesando el tipo de objeto DATABASE_EXPORT/NORMAL_OPTIONS/VIEWS_AS_TABLES/TABLE_DATA
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/TABLE/TABLE_DATA
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/TABLE/INDEX/STATISTICS/INDEX_STATISTICS
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/TABLE/STATISTICS/TABLE_STATISTICS
Procesando el tipo de objeto DATABASE_EXPORT/PRE_SYSTEM_IMPCALLOUT/MARKER
Procesando el tipo de objeto DATABASE_EXPORT/PRE_INSTANCE_IMPCALLOUT/MARKER
Procesando el tipo de objeto DATABASE_EXPORT/TABLESPACE
Procesando el tipo de objeto DATABASE_EXPORT/PROFILE
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/USER
Procesando el tipo de objeto DATABASE_EXPORT/RADM_FPTM
Procesando el tipo de objeto DATABASE_EXPORT/GRANT/SYSTEM_GRANT/PROC_SYSTEM_GRANT
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/GRANT/SYSTEM_GRANT
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/ROLE_GRANT
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/DEFAULT_ROLE
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/ON_USER_GRANT
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/TABLESPACE_QUOTA
Procesando el tipo de objeto DATABASE_EXPORT/RESOURCE_COST
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/DB_LINK
Procesando el tipo de objeto DATABASE_EXPORT/TRUSTED_DB_LINK
Procesando el tipo de objeto DATABASE_EXPORT/DIRECTORY/DIRECTORY
Procesando el tipo de objeto DATABASE_EXPORT/DIRECTORY/GRANT/OWNER_GRANT/OBJECT_GRANT
Procesando el tipo de objeto DATABASE_EXPORT/DIRECTORY/GRANT/CROSS_SCHEMA/OBJECT_GRANT
Procesando el tipo de objeto DATABASE_EXPORT/SYSTEM_PROCOBJACT/PRE_SYSTEM_ACTIONS/PROCACT_SYSTEM
Procesando el tipo de objeto DATABASE_EXPORT/SYSTEM_PROCOBJACT/PROCOBJ
Procesando el tipo de objeto DATABASE_EXPORT/SYSTEM_PROCOBJACT/POST_SYSTEM_ACTIONS/PROCACT_SYSTEM
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/PROCACT_SCHEMA
Procesando el tipo de objeto DATABASE_EXPORT/EARLY_OPTIONS/VIEWS_AS_TABLES/TABLE
Procesando el tipo de objeto DATABASE_EXPORT/EARLY_POST_INSTANCE_IMPCALLOUT/MARKER
Procesando el tipo de objeto DATABASE_EXPORT/NORMAL_OPTIONS/TABLE
Procesando el tipo de objeto DATABASE_EXPORT/NORMAL_OPTIONS/VIEWS_AS_TABLES/TABLE
Procesando el tipo de objeto DATABASE_EXPORT/NORMAL_POST_INSTANCE_IMPCALLOUT/MARKER
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/TABLE/TABLE
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/TABLE/COMMENT
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/TABLE/INDEX/INDEX
Procesando el tipo de objeto DATABASE_EXPORT/SCHEMA/TABLE/CONSTRAINT/CONSTRAINT
Procesando el tipo de objeto DATABASE_EXPORT/FINAL_POST_INSTANCE_IMPCALLOUT/MARKER
Procesando el tipo de objeto DATABASE_EXPORT/AUDIT_UNIFIED/AUDIT_POLICY_ENABLE
Procesando el tipo de objeto DATABASE_EXPORT/POST_SYSTEM_IMPCALLOUT/MARKER
. . "SYS"."KU$_USER_MAPPING_VIEW"               6.101 KB      39 filas exportadas
. . "AUDSYS"."AUD$UNIFIED":"SYS_P281"           55.05 KB       6 filas exportadas
. . "SYSTEM"."REDO_DB"                          26.01 KB       1 filas exportadas
. . "WMSYS"."WM$WORKSPACES_TABLE$"              12.10 KB       1 filas exportadas
. . "WMSYS"."WM$HINT_TABLE$"                    9.984 KB      97 filas exportadas
. . "LBACSYS"."OLS$INSTALLATIONS"               6.960 KB       2 filas exportadas
. . "WMSYS"."WM$WORKSPACE_PRIV_TABLE$"          7.078 KB      11 filas exportadas
. . "SYS"."DAM_CONFIG_PARAM$"                   6.531 KB      14 filas exportadas
. . "SYS"."TSDP_SUBPOL$"                        6.328 KB       1 filas exportadas
. . "WMSYS"."WM$NEXTVER_TABLE$"                 6.375 KB       1 filas exportadas
. . "LBACSYS"."OLS$PROPS"                       6.234 KB       5 filas exportadas
. . "WMSYS"."WM$ENV_VARS$"                      6.015 KB       3 filas exportadas
. . "SYS"."TSDP_PARAMETER$"                     5.953 KB       1 filas exportadas
. . "SYS"."TSDP_POLICY$"                        5.921 KB       1 filas exportadas
. . "WMSYS"."WM$VERSION_HIERARCHY_TABLE$"       5.984 KB       1 filas exportadas
. . "WMSYS"."WM$EVENTS_INFO$"                   5.812 KB      12 filas exportadas
. . "LBACSYS"."OLS$AUDIT_ACTIONS"               5.757 KB       8 filas exportadas
. . "LBACSYS"."OLS$DIP_EVENTS"                  5.539 KB       2 filas exportadas
. . "AUDSYS"."AUD$UNIFIED":"AUD_UNIFIED_P0"     52.26 KB       0 filas exportadas
. . "AUDSYS"."AUD$UNIFIED":"SYS_P3840"          67.71 KB      36 filas exportadas
. . "LBACSYS"."OLS$AUDIT"                           0 KB       0 filas exportadas
. . "LBACSYS"."OLS$COMPARTMENTS"                    0 KB       0 filas exportadas
. . "LBACSYS"."OLS$DIP_DEBUG"                       0 KB       0 filas exportadas
. . "LBACSYS"."OLS$GROUPS"                          0 KB       0 filas exportadas
. . "LBACSYS"."OLS$LAB"                             0 KB       0 filas exportadas
. . "LBACSYS"."OLS$LEVELS"                          0 KB       0 filas exportadas
. . "LBACSYS"."OLS$POL"                             0 KB       0 filas exportadas
. . "LBACSYS"."OLS$POLICY_ADMIN"                    0 KB       0 filas exportadas
. . "LBACSYS"."OLS$POLS"                            0 KB       0 filas exportadas
. . "LBACSYS"."OLS$POLT"                            0 KB       0 filas exportadas
. . "LBACSYS"."OLS$PROFILE"                         0 KB       0 filas exportadas
. . "LBACSYS"."OLS$PROFILES"                        0 KB       0 filas exportadas
. . "LBACSYS"."OLS$PROG"                            0 KB       0 filas exportadas
. . "LBACSYS"."OLS$SESSINFO"                        0 KB       0 filas exportadas
. . "LBACSYS"."OLS$USER"                            0 KB       0 filas exportadas
. . "LBACSYS"."OLS$USER_COMPARTMENTS"               0 KB       0 filas exportadas
. . "LBACSYS"."OLS$USER_GROUPS"                     0 KB       0 filas exportadas
. . "LBACSYS"."OLS$USER_LEVELS"                     0 KB       0 filas exportadas
. . "SYS"."AUD$"                                23.47 KB       0 filas exportadas
. . "SYS"."DAM_CLEANUP_EVENTS$"                 7.187 KB       0 filas exportadas
. . "SYS"."DAM_CLEANUP_JOBS$"                   7.171 KB       0 filas exportadas
. . "SYS"."TSDP_ASSOCIATION$"                       0 KB       0 filas exportadas
. . "SYS"."TSDP_CONDITION$"                         0 KB       0 filas exportadas
. . "SYS"."TSDP_FEATURE_POLICY$"                    0 KB       0 filas exportadas
. . "SYS"."TSDP_PROTECTION$"                        0 KB       0 filas exportadas
. . "SYS"."TSDP_SENSITIVE_DATA$"                    0 KB       0 filas exportadas
. . "SYS"."TSDP_SENSITIVE_TYPE$"                    0 KB       0 filas exportadas
. . "SYS"."TSDP_SOURCE$"                            0 KB       0 filas exportadas
. . "SYSTEM"."REDO_LOG"                             0 KB       0 filas exportadas
. . "WMSYS"."WM$BATCH_COMPRESSIBLE_TABLES$"         0 KB       0 filas exportadas
. . "WMSYS"."WM$CONSTRAINTS_TABLE$"                 0 KB       0 filas exportadas
. . "WMSYS"."WM$CONS_COLUMNS$"                      0 KB       0 filas exportadas
. . "WMSYS"."WM$LOCKROWS_INFO$"                     0 KB       0 filas exportadas
. . "WMSYS"."WM$MODIFIED_TABLES$"                   0 KB       0 filas exportadas
. . "WMSYS"."WM$MP_GRAPH_WORKSPACES_TABLE$"         0 KB       0 filas exportadas
